family_id	parameter	role	candidate_source	candidate_sha256	checker	checker_mode	verdict	time_s	notes
param:tlsf/arbiters_zoo/parametric/arbiter.tlsf	n=2	seed	acacia-synthesis	build_otf_sparse_formula b6da274	verify_aiger_ltl.py	monolithic	VERIFIED	0.10	acacia-native AIGER, tlsf-tools reference checker
param:tlsf/arbiters_zoo/parametric/arbiter.tlsf	n=3	seed	acacia-synthesis	build_otf_sparse_formula b6da274	verify_aiger_ltl.py	monolithic	VERIFIED	0.10	acacia-native AIGER, tlsf-tools reference checker
param:tlsf/arbiters_zoo/parametric/arbiter.tlsf	n=4	sanity	acacia-synthesis	build_otf_sparse_formula b6da274	verify_aiger_ltl.py	monolithic	VERIFIED	0.13	acacia-native AIGER, tlsf-tools reference checker, third small check per plan section 7.3 step 3
param:tlsf/arbiters_zoo/parametric/arbiter.tlsf	n=2	seed (manual schema cross-check)	manual/build_arbiter_witness.py	1d1e6c8f87ba7bc57dff1853f803607a8853a41ba9199dda58bc2065b5f8fb51	verify_aiger_ltl.py	monolithic	VERIFIED	0.10	proposal_origin=manual, one-hot pointer construction; agrees with the seed's own Acacia-synthesized controller's verdict (not the same circuit -- an independent construction reaching the same checked verdict)
param:tlsf/arbiters_zoo/parametric/arbiter.tlsf	n=3	seed (manual schema cross-check)	manual/build_arbiter_witness.py	c9e8c6e274d348e03dff21ec5f0fcbf99b345c1d587c662dad61f552c04ab944	verify_aiger_ltl.py	monolithic	VERIFIED	0.11	proposal_origin=manual
param:tlsf/arbiters_zoo/parametric/arbiter.tlsf	n=4	sanity (manual schema cross-check)	manual/build_arbiter_witness.py	aaf659e843ec998867e3ea832c60362e310b0fd06f01a3c8b5a605f36d442524	verify_aiger_ltl.py	monolithic	VERIFIED	0.14	proposal_origin=manual, third small check per plan section 7.3 step 3
param:tlsf/arbiters_zoo/parametric/arbiter.tlsf	n=10	target (arbiter_pb_10_pe_.ltl)	acacia-synthesis (direct, for comparison)	build_otf_sparse_formula b6da274	acacia-bonsai solver	direct synthesis	UNKNOWN	>60 (timeout)	plan section 7.3 step 5 comparison point: direct synthesis of the actual target does not complete within 60s on this build
param:tlsf/arbiters_zoo/parametric/arbiter.tlsf	n=10	target (arbiter_pb_10_pe_.ltl)	manual/build_arbiter_witness.py	8ed459b4fc89d0ec8bef4a6c8a0fff802939bcf4237247a6015397b2307a3501	verify_aiger_ltl.py	monolithic	UNKNOWN	>90 (timeout, twice: unbounded then bounded 90s)	eager/unrestricted single-formula translation does not complete within budget; the 41-way top-level conjunction is the suspected cost driver, not genuine product-state blowup -- confirmed below
param:tlsf/arbiters_zoo/parametric/arbiter.tlsf	n=10	target (arbiter_pb_10_pe_.ltl)	manual/build_arbiter_witness.py	8ed459b4fc89d0ec8bef4a6c8a0fff802939bcf4237247a6015397b2307a3501	verify_conjuncts.py (this sprint, plan section 7.2)	exact conjunct decomposition	VERIFIED	5.06 (sum of 41 conjuncts, each 0.05-0.24s, none over 0.25s)	FEASIBILITY PILOT SUCCESS: the manually-proposed witness is a checked, verified controller for the actual missed SYNTCOMP26 target arbiter_pb_10_pe_.ltl. Confirms the monolithic-formula translation (not product exploration) was the n=10 bottleneck -- decomposition alone resolved it, so W6's candidate-restricted product construction was not needed for this family/target.
param:tlsf/round_robin_arbiter/parametric/round_robin_arbiter.tlsf	n=2	seed	manual/build_arbiter_witness.py (same schema, unmodified, reused directly against the ASSUME/ASSERT/GUARANTEE spec shape)	1d1e6c8f87ba7bc57dff1853f803607a8853a41ba9199dda58bc2065b5f8fb51	verify_aiger_ltl.py	monolithic	VERIFIED	<0.2	same construction as arbiter's manual proposal, no changes needed
param:tlsf/round_robin_arbiter/parametric/round_robin_arbiter.tlsf	n=3	seed	manual/build_arbiter_witness.py	c9e8c6e274d348e03dff21ec5f0fcbf99b345c1d587c662dad61f552c04ab944	verify_aiger_ltl.py	monolithic	VERIFIED	<0.2
param:tlsf/round_robin_arbiter/parametric/round_robin_arbiter.tlsf	n=4	sanity	manual/build_arbiter_witness.py	aaf659e843ec998867e3ea832c60362e310b0fd06f01a3c8b5a605f36d442524	verify_aiger_ltl.py	monolithic	VERIFIED	<0.2	third small check per plan section 7.3 step 3
param:tlsf/round_robin_arbiter/parametric/round_robin_arbiter.tlsf	n=10	target (round_robin_arbiter_pb_10_pe_.ltl)	manual/build_arbiter_witness.py	8ed459b4fc89d0ec8bef4a6c8a0fff802939bcf4237247a6015397b2307a3501	verify_conjuncts.py	exact conjunct decomposition, extended to split an implication's consequent while retaining the full antecedent (this sprint's fix, needed because this family's formula is one Assume -> And(...) implication, unlike plain arbiter's bare And)	UNKNOWN (inconclusive, host contention, not a logic defect)	3 attempts, 30s/45s/60s bounds, all timed out	Bisected precisely: tlsf2ltl, formula parsing, AIGER-circuit loading and the 11-way conjunct split are all sub-millisecond (confirmed via direct instrumentation); the stall is specifically inside `circuit.as_automaton()`, called once before the per-conjunct loop. The AIGER file is byte-identical (sha256 8ed459b4...) to the one that verified arbiter's n=10 target in 5.06s earlier in this same session -- same code, same circuit, only the host state differs. At the time of the failing retries, `ps`/`free` showed the campaign's concurrent 4-arm portfolio using ~1.1 GiB RSS per arm (vs ~200-650 MiB for the instance running during the earlier success) and available memory falling with buff/cache actively being reclaimed. This is a genuine, time-varying memory-pressure effect from the campaign's own legitimate work, not a bug in the schema, the circuit, or the decomposer. Deferred until a quiet window (campaign completion or a real gap), not pushed further with `nice`/retries that would just add more concurrent memory pressure of their own.
